,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
scen1,0,0,0,0,0,0,0,15.5787172,26.00259055,527.8116842,1025.607315,982.7113279,1047.294832,1271.731471,912.6430328,932.7433683,803.2594506,397.6654782,220.6225063,128.512475,0,0,0,0
scen2,0,0,0,0,0,0,0.424187251,24.93922611,195.7884216,581.8516768,909.2003663,1291.353849,1051.650702,1496.520035,1242.142243,1088.555474,894.0947189,405.6836629,190.0263976,115.4172984,0,0,0,0
scen3,0,0,0,0,0,0,0,0,70.83070025,754.5164798,1435.314998,1069.879885,1484.826497,1274.661751,763.5090323,1055.159039,551.1612507,397.8576998,181.3039226,111.9138147,0,0,0,0
scen4,0,0,0,0,0,0,0.84064897,16.67572348,293.6471002,876.9582732,1305.405782,1160.921641,1123.349232,1047.064943,938.3291513,896.2933294,816.3404119,467.9935895,174.5789413,106.9178059,0,0,0,0
scen5,0,0,0,0,0,0,0.358345381,24.99548708,84.6577867,869.5014343,1118.7536,762.9315235,1379.141474,1458.865718,1113.210302,765.955282,757.3381541,452.0282484,146.3260775,114.7139562,0,0,0,0
scen6,0,0,0,0,0,0,0.474047557,8.15402223,189.2046716,893.5342235,985.2539139,334.9896567,670.932023,1956.701085,1140.950191,666.7828919,801.2164926,407.1727653,192.1890164,130.6460908,0,0,0,0
scen7,0,0,0,0,0,0,0,0,16.68407583,925.7418394,558.2732612,1514.114458,702.1844413,1086.587064,1117.474615,1145.714805,740.0459591,434.3073508,202.1500641,108.0634435,0,0,0,0
scen8,0,0,0,0,0,0,0,24.31023722,84.3222618,782.550893,677.0586015,1235.843182,863.3361966,693.0387157,1086.8957,777.5020951,773.4446661,497.2950518,200.3897319,130.1068453,0,0,0,0
scen9,0,0,0,0,0,0,0.918991373,35.02553111,131.2483399,461.2740074,1050.730998,1060.154267,1197.052227,863.3321361,931.9683375,1205.027785,701.9853218,473.4876941,178.4720121,121.6102192,0,0,0,0
scen10,0,0,0,0,0,0,0.609515831,32.80186396,240.7977967,1033.462165,1479.474994,843.9456804,1215.440576,1607.043773,938.8438042,791.3143683,770.2255787,440.388451,197.838885,123.6871755,0,0,0,0
scen11,0,0,0,0,0,0,0.033571194,19.75501251,148.3858531,517.9088561,802.3059105,702.5673645,1187.812979,1226.679788,1030.979346,911.8281935,698.3302537,512.1425522,163.201006,124.495937,0,0,0,0
scen12,0,0,0,0,0,0,0,13.08762881,100.0342475,828.6792509,1013.798286,1092.671526,466.852043,1439.921166,1504.591674,1067.448084,846.6368383,405.2014138,189.6914159,144.4525348,0,0,0,0
scen13,0,0,0,0,0,0,0,15.91667489,69.30113316,698.5929114,1069.364324,1318.516861,1058.949461,1295.541181,1308.892679,1044.369781,907.7178189,517.6201808,187.5042692,137.3125493,0,0,0,0
scen14,0,0,0,0,0,0,0.949853483,2.266232736,241.0681753,623.2342705,785.5318701,1288.582962,1268.801829,1285.137174,1036.997641,1166.63499,915.4751199,437.865907,182.3093638,124.3273984,0,0,0,0
scen15,0,0,0,0,0,0,0.010006947,14.42050573,77.98941783,716.8117069,344.1655502,1098.064968,1030.092297,1223.200819,919.9384633,989.4110497,632.3712184,483.5640418,216.0295968,120.5563348,0,0,0,0
scen16,0,0,0,0,0,0,0.299265379,13.0340037,64.81164585,563.2602034,973.1912647,746.0829935,1155.991077,1441.36205,1208.516917,895.2792515,716.611077,425.6566134,186.7181658,109.8141895,0,0,0,0
scen17,0,0,0,0,0,0,0.621774594,33.0020666,212.433802,626.3368964,1281.570714,933.3944208,1651.27418,989.8767982,1018.594541,887.8286214,694.8732709,495.3134496,174.7925973,96.21233344,0,0,0,0
scen18,0,0,0,0,0,0,0.693716959,38.02733277,70.51444673,514.445657,1156.307137,1039.238544,1637.32706,1118.339746,968.8398207,717.1854958,753.1850724,491.1034576,154.2324564,101.9121844,0,0,0,0
scen19,0,0,0,0,0,0,0,30.43480178,42.88686875,315.9776184,927.0642855,1204.171414,1469.16312,1710.549432,1319.990917,969.4385474,587.9607276,462.9436588,209.4197991,116.5058214,0,0,0,0
scen20,0,0,0,0,0,0,0,13.43414603,91.14913341,575.9850985,693.6979852,1113.946269,1069.847405,1157.385512,1075.066101,1167.492513,852.5511933,479.8245515,192.5822222,135.3265035,0,0,0,0
scen21,0,0,0,0,0,0,0.442878356,22.69933885,160.349836,778.5192401,687.3480256,1569.553441,1779.706886,1209.899739,1330.30471,903.8170991,649.9631661,329.5705156,212.4680397,128.7288266,0,0,0,0
scen22,0,0,0,0,0,0,0.782883505,20.53609373,122.0974059,767.5409592,462.4693896,1352.391423,1044.217554,654.280728,1236.862304,992.8579309,631.9080048,494.9199137,170.291777,121.5571936,0,0,0,0
