,scen,value
1,144,-271.985
2,143,-276.927
3,145,-278.181
4,134,-280.868
5,135,-284.499
6,63,-286.079
7,141,-286.404
8,62,-287.61
9,132,-287.674
10,137,-288.416
11,64,-289.182
12,136,-290.816
13,60,-291.508
14,142,-291.642
15,122,-291.902
16,133,-292.148
17,146,-292.92
18,140,-293.239
19,100,-293.363
20,112,-293.49
21,138,-293.682
22,42,-293.922
23,103,-293.976
24,27,-294.582
25,104,-294.767
26,106,-294.77
27,61,-294.948
28,33,-295.52
29,101,-295.567
30,120,-295.807
31,147,-296.005
32,28,-296.162
33,41,-296.441
34,40,-296.696
35,102,-296.735
36,111,-296.825
37,126,-296.918
38,26,-297.195
39,89,-297.519
40,107,-297.628
41,113,-297.656
42,99,-297.821
43,98,-297.902
44,108,-298.07
45,97,-298.269
46,50,-298.621
47,8,-298.721
48,29,-298.794
49,121,-298.945
50,32,-298.968
51,14,-299.015
52,105,-299.141
53,58,-299.506
54,115,-299.748
55,88,-299.825
56,43,-299.989
57,49,-300.096
58,128,-300.219
59,34,-300.415
60,15,-300.459
61,119,-300.905
62,65,-300.964
63,59,-301.099
64,90,-301.156
65,66,-301.265
66,109,-301.396
67,139,-301.447
68,96,-301.498
69,114,-301.514
70,123,-301.533
71,110,-301.688
72,72,-301.873
73,91,-301.97
74,129,-302.306
75,57,-302.609
76,7,-302.671
77,30,-303.046
78,130,-303.567
79,116,-303.828
80,94,-303.831
81,124,-303.898
82,118,-304.346
83,95,-304.408
84,53,-304.473
85,13,-304.492
86,25,-304.973
87,150,-305.372
88,11,-305.447
89,148,-305.797
90,82,-306.577
91,46,-306.72
92,131,-306.809
93,6,-307.048
94,31,-307.054
95,24,-307.743
96,125,-308.358
97,36,-308.36
98,5,-308.373
99,71,-308.42
100,48,-308.787
101,39,-309.194
102,92,-309.288
103,47,-309.569
104,83,-309.752
105,56,-309.852
106,127,-309.866
107,35,-310.018
108,44,-310.066
109,55,-310.179
110,16,-310.681
111,51,-310.804
112,12,-310.809
113,87,-310.82
114,54,-310.979
115,74,-311.431
116,117,-311.44
117,4,-312.324
118,10,-312.495
119,81,-312.85
120,85,-312.952
121,73,-313.086
122,17,-313.456
123,9,-313.606
124,37,-313.971
125,93,-314.039
126,84,-314.247
127,149,-314.565
128,52,-314.607
129,45,-314.618
130,70,-315.289
131,80,-315.692
132,86,-316.966
133,38,-317.006
134,18,-319.157
135,23,-320.193
136,67,-320.946
137,21,-323.061
138,69,-323.395
139,22,-323.659
140,2,-324.166
141,19,-324.209
142,3,-324.322
143,20,-324.954
144,78,-325.254
145,75,-326.269
146,79,-328.079
147,76,-329.107
148,68,-330.266
149,1,-330.496
150,77,-332.335
