,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
scen1,0,0,0,0,0,0,1.581936985,23.15250667,91.27313702,704.3867561,710.8147471,1347.353062,1134.741022,1396.317578,1237.088545,808.3659312,791.7220457,462.3820096,187.2626676,121.1662589,0,0,0,0
scen2,0,0,0,0,0,0,0.826373719,8.495851118,98.38670329,858.1450806,956.3258353,1158.632036,1171.181128,1472.961427,1116.338948,915.7495412,772.9933646,474.994758,193.1515285,117.9686249,0,0,0,0
scen3,0,0,0,0,0,0,0.659129845,33.99523788,51.51473417,909.975939,1203.007519,1104.910336,1156.620159,1582.030842,1062.600142,1105.990996,737.2415338,492.0383964,164.5475362,126.9014733,0,0,0,0
scen4,0,0,0,0,0,0,0.184789039,22.08259798,185.728895,865.2473516,933.5074156,1145.581311,1163.261733,1075.023744,1330.892215,1093.587353,861.3927666,446.8627782,192.1305177,113.4503752,0,0,0,0
scen5,0,0,0,0,0,0,0,16.84753842,105.9411883,690.853772,862.159469,1031.400131,1335.034655,1095.525929,1155.462285,1140.082551,722.8294305,485.5829594,197.9608199,125.1538627,0,0,0,0
scen6,0,0,0,0,0,0,0,13.39371503,121.3740963,598.8749573,909.7022479,1205.309069,1267.982228,1169.27453,1122.619671,1092.918481,729.3017877,485.4594682,185.3825082,129.8109928,0,0,0,0
scen7,0,0,0,0,0,0,0,35.53594049,0,656.697954,1151.728515,836.5528458,1580.379793,1374.037929,1143.608114,946.9557806,694.3695077,453.8255611,163.7610766,113.5783655,0,0,0,0
scen8,0,0,0,0,0,0,0,31.18923488,97.79453794,533.6058802,890.9422894,1138.731242,1069.537999,950.7235998,1112.443797,856.2602879,810.9496652,451.4726842,183.4117488,138.8333142,0,0,0,0
scen9,0,0,0,0,0,0,0,33.37834597,127.8167343,687.7472582,935.8192985,1035.748956,1013.847411,1181.851309,1112.564623,1043.458358,832.3635302,486.1410775,169.8917281,127.6352197,0,0,0,0
scen10,0,0,0,0,0,0,0,32.11014249,129.0385279,718.3696211,909.2040146,890.1686923,835.7317425,1204.445474,1171.936419,990.4985348,792.5301973,442.1331079,161.0402634,120.2835979,0,0,0,0
scen11,0,0,0,0,0,0,0.02963299,27.90435846,129.5087341,532.3224599,997.1195839,928.1536801,1063.272116,1250.119765,1232.723051,882.3445065,662.0601719,446.9977349,180.2196127,117.5558151,0,0,0,0
scen12,0,0,0,0,0,0,0.129628197,25.71853548,70.98150028,755.0994285,703.6994562,1345.062583,1097.165508,1299.259487,928.659667,959.9764649,731.0501607,435.1787007,197.7355989,126.8164868,0,0,0,0
scen13,0,0,0,0,0,0,0,28.81386354,126.2642062,635.7429567,722.695175,1213.981298,931.2826362,1424.341989,1255.194776,981.1541569,738.9244932,471.0458169,169.6689234,127.2413312,0,0,0,0
scen14,0,0,0,0,0,0,0.147093406,0.82615885,223.3652235,755.0565301,1113.274061,728.0308942,1042.248124,1048.932863,1151.111938,1083.506741,766.4542539,507.7225268,184.7376494,116.4324492,0,0,0,0
scen15,0,0,0,0,0,0,0.039854002,0,165.603558,828.00766,1190.280546,835.1306398,915.9915445,1180.108863,1072.405948,1086.454589,720.5019145,479.3998293,185.8454726,123.5315279,0,0,0,0
scen16,0,0,0,0,0,0,0,11.32752153,160.7801539,887.8571169,1016.513111,1341.417229,858.5578061,1076.304285,1000.388867,977.8641636,634.0398449,484.6318164,193.3718898,113.6578596,0,0,0,0
scen17,0,0,0,0,0,0,0,15.77812434,140.2066496,933.6474095,951.9923348,1373.323432,1013.488823,975.1909465,1015.940416,986.4601404,641.057861,501.2792344,203.5726483,117.0168087,0,0,0,0
scen18,0,0,0,0,0,0,0,35.8674491,173.9237176,661.0409947,1092.018591,1024.155637,1271.836932,1047.832171,1122.793034,1031.331398,805.2060415,454.729326,196.9897471,144.3393614,0,0,0,0
scen19,0,0,0,0,0,0,0,13.8754662,91.32365966,646.5721616,890.6828041,976.0183179,1014.051654,1190.54262,1037.609545,956.8251956,770.0877528,391.0303587,190.2541255,122.74803,0,0,0,0
scen20,0,0,0,0,0,0,0.195072735,15.8478309,140.3436877,670.6500491,916.3523307,1139.311676,1004.296232,1300.217234,1145.559138,1008.548299,790.7051858,405.4529887,196.1587531,122.3156927,0,0,0,0
scen21,0,0,0,0,0,0,0,20.35204364,119.3598945,776.2619068,880.6689287,915.8392935,1242.862056,916.2802459,1047.877452,901.0489075,843.0325098,497.1970879,186.7693448,134.191477,0,0,0,0
scen22,0,0,0,0,0,0,0,24.93792956,4.072772339,553.4011403,1140.961593,961.4375883,1368.516384,1017.954784,1229.176167,1102.967235,740.033884,457.286047,190.3425324,111.2514079,0,0,0,0
scen23,0,0,0,0,0,0,0.588425759,23.05429774,168.0299434,542.0369405,760.0291991,965.3910475,1130.025864,1306.132456,1041.179092,923.3800945,708.5939374,474.1166227,162.3908203,107.131728,0,0,0,0
