,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
scen1,0,0,0,0,0,0,0.024350152,19.05455365,65.28474626,640.9406162,885.3493519,1275.297798,854.2176276,1099.186459,1058.641459,916.0760663,812.387998,409.6977297,176.6272309,127.3380614,0,0,0,0
scen2,0,0,0,0,0,0,0.546606664,28.25391413,101.40031,813.0962489,632.0714107,1099.445334,1089.672039,1461.019024,1212.955333,893.6111445,807.1179088,420.859575,190.6116258,137.1254152,0,0,0,0
scen3,0,0,0,0,0,0,0.469994183,26.88737424,149.5221219,873.4284638,903.0693007,993.0023395,1105.23916,1234.132589,1139.234139,898.7383071,683.6575136,410.7892726,211.3283204,136.2984972,0,0,0,0
scen4,0,0,0,0,0,0,0,14.95244132,182.7367947,833.8177784,698.0692522,1136.744928,1074.04862,1070.578674,1298.227542,965.835848,746.9399694,440.1472263,176.6708048,122.0292796,0,0,0,0
scen5,0,0,0,0,0,0,0,13.39371503,121.3740963,598.8749573,909.7022479,1205.309069,1267.982228,1169.27453,1122.619671,1092.918481,729.3017877,485.4594682,185.3825082,129.8109928,0,0,0,0
scen6,0,0,0,0,0,0,0.183654019,30.03262915,233.9871684,623.4929131,1223.836709,1256.638395,1115.012166,1183.856241,879.1710717,1059.239848,824.1925083,469.280909,194.2431753,113.2735792,0,0,0,0
scen7,0,0,0,0,0,0,0,25.71861928,93.34993399,894.1835641,806.5428752,1429.064551,1399.472259,1368.764975,972.9216243,770.8217105,806.4138393,495.2516305,191.2283568,121.4597282,0,0,0,0
scen8,0,0,0,0,0,0,0.374486559,35.40619421,94.60813911,818.7375384,826.6721091,1308.758561,1287.996993,1270.356806,1241.724701,826.6819353,796.5888509,445.1643845,183.9557735,121.5302606,0,0,0,0
scen9,0,0,0,0,0,0,0.084059517,32.77749167,127.7108519,720.4350391,1117.542156,886.6134781,806.0929169,1121.350652,1141.993396,909.6881505,753.3798602,475.6967653,170.075278,118.0915073,0,0,0,0
scen10,0,0,0,0,0,0,0.420755593,32.93331964,46.50469921,500.9027948,928.2302662,1067.15909,1391.274199,1105.158523,1048.363721,1047.867162,677.4159201,454.947681,194.844795,116.2381343,0,0,0,0
scen11,0,0,0,0,0,0,0,22.84915352,197.411814,787.0999948,810.8370566,1008.527135,1227.197164,1191.642582,974.2835516,875.6607793,699.2900512,496.6588107,176.522505,130.4669175,0,0,0,0
scen12,0,0,0,0,0,0,0.452931238,27.6493882,47.73149779,908.9396087,829.8790018,1066.813502,1067.198877,1184.131128,1189.671384,1007.696282,668.6442952,443.7398121,178.0913339,133.5699717,0,0,0,0
scen13,0,0,0,0,0,0,0.159490765,28.48526346,0,808.7801665,868.0851862,1098.972165,940.0909262,993.8478828,1106.028536,966.1799801,744.3715206,466.6901218,206.1002394,139.303909,0,0,0,0
scen14,0,0,0,0,0,0,0.241130547,15.89051211,99.46435019,703.0669112,814.246373,1247.837251,1054.098955,1356.451804,944.9095116,921.088242,725.9929379,435.8253694,203.9075018,116.800288,0,0,0,0
scen15,0,0,0,0,0,0,0,20.54427622,104.6537082,782.61082,1051.553321,1193.442001,1092.10392,1357.259242,1065.115646,958.0327011,757.2117699,441.8253387,179.0233648,119.1096669,0,0,0,0
scen16,0,0,0,0,0,0,0,25.78797554,96.80936514,686.0323905,838.1625528,1227.092999,946.8334158,1460.057733,1159.179258,895.921568,745.5975508,467.6219783,184.104594,123.5694317,0,0,0,0
scen17,0,0,0,0,0,0,0,35.8674491,173.9237176,661.0409947,1092.018591,1024.155637,1271.836932,1047.832171,1122.793034,1031.331398,805.2060415,454.729326,196.9897471,144.3393614,0,0,0,0
scen18,0,0,0,0,0,0,0.007593834,30.62600533,121.574401,686.5395932,999.7514494,1134.965324,774.4657145,1413.302508,1151.80877,1015.854904,803.1936569,404.8300053,199.9734082,126.6668692,0,0,0,0
scen19,0,0,0,0,0,0,0.286750846,23.61998168,145.3943535,746.8771202,742.1010897,1243.13389,998.4387914,957.7477401,1176.672068,949.0843615,748.0993427,437.339881,205.7587237,103.2113502,0,0,0,0
scen20,0,0,0,0,0,0,0.041399209,31.26337049,64.08616556,696.0955753,1021.326127,946.5575196,895.3196292,1299.420946,1040.765238,1145.474545,597.5433481,439.0357244,195.5731165,119.013259,0,0,0,0
scen21,0,0,0,0,0,0,0.546236379,19.31735627,181.9838336,537.5021963,774.1244651,1086.743435,1147.679784,1402.884365,1074.417625,825.4825892,673.7588041,499.7478607,162.7796793,103.3356944,0,0,0,0
scen22,0,0,0,0,0,0,0.114094708,19.06880985,129.9590792,842.4164911,1019.722789,710.7943789,1201.419652,1379.114341,926.8822966,1042.034079,877.1708295,447.9327579,199.6537159,144.4712206,0,0,0,0
scen23,0,0,0,0,0,0,0,28.97168727,250.5527376,688.6739749,855.0622778,1178.273235,1128.326768,1082.564243,1031.268295,987.5742173,675.8196867,483.8325503,186.8575971,126.5324309,0,0,0,0
scen24,0,0,0,0,0,0,0.052054073,25.40222439,139.6333494,784.2252555,672.0762162,1252.164566,1036.733061,1141.632764,1263.729775,857.6387906,732.8847637,417.0345871,175.628202,116.0455083,0,0,0,0
scen25,0,0,0,0,0,0,0,22.64908738,119.4305589,768.3026117,732.5856645,1325.027791,980.179679,1158.022786,1116.31031,823.4056333,689.4783444,422.6303351,166.7904053,110.4635898,0,0,0,0
scen26,0,0,0,0,0,0,0.795361081,6.216280707,105.0703715,593.9150355,742.4405396,962.6898148,1288.622978,1044.370342,993.4211731,1001.032826,728.9499994,443.7809913,201.4805608,134.7825342,0,0,0,0
scen27,0,0,0,0,0,0,0.259188947,28.77914962,108.143791,595.6932661,746.4949805,799.0176939,1146.332298,1131.251823,1084.505193,1085.523326,706.8520531,476.7197911,168.6076833,115.9249231,0,0,0,0
scen28,0,0,0,0,0,0,0.248648922,36.08858583,135.8147819,624.2419432,762.7413047,704.5291759,1230.985922,1126.517431,1214.56289,1072.998889,719.2474136,469.5840998,174.80256,115.9183108,0,0,0,0
scen29,0,0,0,0,0,0,0,25.38976183,186.6569727,537.5391315,791.253661,794.880913,1263.999715,1040.92449,1060.286259,948.3950635,732.7801667,488.7123567,168.6383007,112.8777771,0,0,0,0
scen30,0,0,0,0,0,0,0,8.880539335,180.3782977,668.8118378,931.1842754,1036.46994,993.0373024,1233.564769,1203.278515,740.9595322,846.8354337,481.9462967,182.4466933,131.816744,0,0,0,0
scen31,0,0,0,0,0,0,0,18.58986094,80.02554279,518.0843291,1206.747635,1118.284966,1113.793913,1337.631901,970.4370917,920.0043814,752.0398697,466.5083225,199.2392182,118.4581827,0,0,0,0
scen32,0,0,0,0,0,0,0.573170482,26.08950947,60.2485362,834.7474509,918.3847114,786.2933019,1150.302666,1159.013296,1058.480942,1052.027322,792.1529674,493.2140887,196.9065092,107.996676,0,0,0,0
scen33,0,0,0,0,0,0,0.106922559,46.05721611,138.416867,618.2739789,1283.334798,1031.810976,1322.418154,1247.382393,1045.767774,861.8670452,588.47281,453.385459,177.135354,120.5136229,0,0,0,0
scen34,0,0,0,0,0,0,0.477371068,23.69412968,114.8942108,739.2604538,782.3531881,846.6002049,1141.981592,1215.105068,1002.133951,910.9098119,738.4956783,468.3275314,199.1234003,135.6846574,0,0,0,0
