209      0.001
408 5      0.001       0.004 Assignment dummysolar (1350)
420 4      0.001       0.004 Assignment minsolar (2)
375 10      0.001       0.004 Assignment Solar (1351)
548 9      0.213       0.007 GAMS Fini   
548 8      0.445       0.007 Solve Fini schedule (21325)
509 7      0.001       0.007 Equation   Const_chance_2 (1)
417 6      0.002       0.004 Loop       
502 3      0.003       0.007 Equation   Const_chance_1 (2400)
496 1      0.005       0.006 Equation   Const1 (2300)
494 2      0.008       0.004 Equation   Objective (1)
