,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
scen1,0,0,0,0,0,0,0.551094952,44.99184576,220.642493,793.1564901,932.2090398,865.5766109,1281.057436,934.7497656,624.7068853,1072.505534,923.2021331,515.0855579,196.8818105,142.3933953,0,0,0,0
scen2,0,0,0,0,0,0,0.097860969,33.80268397,137.9783042,726.9063142,940.1687956,1238.644228,1008.341472,1021.73841,1069.5549,987.8564297,833.8221494,442.6989283,203.5869493,125.8470397,0,0,0,0
scen3,0,0,0,0,0,0,0.298296163,21.94972714,77.90406009,764.0695528,1113.32893,1176.761479,857.3768008,893.7968855,1099.745501,1020.069065,826.8274733,423.9144008,194.2331563,124.4039143,0,0,0,0
scen4,0,0,0,0,0,0,0,14.85134032,59.42538378,713.5852201,1023.255663,1305.862728,857.4136776,961.3103802,1166.393389,1022.321128,785.3650158,395.3616889,188.5080465,121.8456024,0,0,0,0
scen5,0,0,0,0,0,0,0,21.81348521,50.12073977,701.4588937,1005.243385,1264.819416,879.3471792,1088.320464,1092.786441,1028.293435,764.2006474,426.0063273,187.4179733,122.5299985,0,0,0,0
scen6,0,0,0,0,0,0,0.024350152,19.05455365,65.28474626,640.9406162,885.3493519,1275.297798,854.2176276,1099.186459,1058.641459,916.0760663,812.387998,409.6977297,176.6272309,127.3380614,0,0,0,0
scen7,0,0,0,0,0,0,0.516686896,20.99034769,49.3177459,661.7026292,810.6658484,1404.794688,1082.796846,1168.287467,1139.766457,908.7853477,830.2541391,425.540385,163.8921938,117.2964439,0,0,0,0
scen8,0,0,0,0,0,0,0.960890298,27.28704917,111.6463055,643.653725,634.9087913,1203.028021,1166.120701,1313.645808,1108.898385,851.0156271,763.2142281,450.5235682,171.4579737,125.0479977,0,0,0,0
scen9,0,0,0,0,0,0,0.953241464,31.81852302,119.0730289,644.4348777,694.624497,1191.735153,1120.78231,1305.269216,1156.847522,853.0992652,764.1102153,454.4037462,173.9556752,122.9833743,0,0,0,0
scen10,0,0,0,0,0,0,1.581936985,23.15250667,91.27313702,704.3867561,710.8147471,1347.353062,1134.741022,1396.317578,1237.088545,808.3659312,791.7220457,462.3820096,187.2626676,121.1662589,0,0,0,0
scen11,0,0,0,0,0,0,1.651318805,17.22330164,107.6944769,730.5104048,760.3403158,1176.054256,1233.870623,1351.590034,1209.354411,959.6516679,738.2801359,461.174355,195.2398264,119.366349,0,0,0,0
scen12,0,0,0,0,0,0,0.991277225,10.0169814,127.0263181,703.3031603,783.4683342,1085.379564,1180.461632,1302.415456,1210.99916,909.7006181,770.0762127,461.7417911,200.8632677,125.0473934,0,0,0,0
scen13,0,0,0,0,0,0,0.618847868,7.350410983,104.3431164,779.4392942,848.3136039,1242.434777,1182.857836,1402.576184,1219.913489,921.538283,792.9447103,455.8718067,198.924252,122.1470592,0,0,0,0
scen14,0,0,0,0,0,0,0.826373719,8.495851118,98.38670329,858.1450806,956.3258353,1158.632036,1171.181128,1472.961427,1116.338948,915.7495412,772.9933646,474.994758,193.1515285,117.9686249,0,0,0,0
scen15,0,0,0,0,0,0,0.253768006,16.37598572,113.7020124,816.7918872,963.5469418,896.970373,1274.703809,1457.48606,1051.078543,1074.74878,714.1611459,469.7793643,176.0179725,120.687694,0,0,0,0
scen16,0,0,0,0,0,0,0.392302151,26.76538246,26.52853122,836.3847865,1125.9201,1043.256051,1190.995122,1520.06535,1121.018186,989.46762,760.448235,494.4464354,166.4795901,125.6510627,0,0,0,0
scen17,0,0,0,0,0,0,0.659129845,33.99523788,51.51473417,909.975939,1203.007519,1104.910336,1156.620159,1582.030842,1062.600142,1105.990996,737.2415338,492.0383964,164.5475362,126.9014733,0,0,0,0
scen18,0,0,0,0,0,0,0.786454304,27.81350205,37.18198552,826.6962286,1257.976581,964.2292747,1048.567822,1581.918681,993.5716512,1155.629333,749.5470375,473.5902373,153.6740802,122.6718401,0,0,0,0
scen19,0,0,0,0,0,0,0.945320103,30.49318333,18.99914096,795.2787858,1112.543862,923.6575771,1027.584127,1491.844758,1066.224354,1099.718052,734.8033479,472.5388465,161.4648295,129.3619266,0,0,0,0
scen20,0,0,0,0,0,0,0.748955801,32.53823005,47.85587138,819.2717592,1010.915226,986.6787306,804.918642,1355.764215,1150.257255,1031.248454,794.6862252,469.7490695,159.8139131,121.6964002,0,0,0,0
scen21,0,0,0,0,0,0,0.608941582,22.14549789,96.16983611,870.5333583,906.6989905,964.9320588,963.6583627,1235.186614,1027.583537,1081.79009,764.8289102,466.7029661,151.9769142,121.3751509,0,0,0,0
scen22,0,0,0,0,0,0,0.649035954,22.34784066,99.18730774,785.5558336,869.9969263,892.0533028,991.0186764,1315.226312,1091.27128,983.9452479,767.2306928,451.6593578,170.3938858,121.7848369,0,0,0,0
scen23,0,0,0,0,0,0,0.480774575,32.97765809,110.1535666,812.0607083,667.192965,984.0514346,1037.322298,1380.4731,1170.206889,943.7781516,797.9803666,442.145001,184.3157603,131.8386568,0,0,0,0
scen24,0,0,0,0,0,0,0.546606664,28.25391413,101.40031,813.0962489,632.0714107,1099.445334,1089.672039,1461.019024,1212.955333,893.6111445,807.1179088,420.859575,190.6116258,137.1254152,0,0,0,0
scen25,0,0,0,0,0,0,0.897226707,26.13256551,110.6976631,929.7178516,783.5007622,1073.093741,1154.33513,1440.665444,1124.906453,853.5541805,785.1445097,398.1023961,202.2645701,135.8136541,0,0,0,0
scen26,0,0,0,0,0,0,0.712220562,27.83393242,136.5972471,927.3110199,832.7795374,1029.217314,1048.826647,1413.599481,1132.008221,866.9324985,750.7671154,393.8783573,211.9488599,133.8689258,0,0,0,0
scen27,0,0,0,0,0,0,0.469994183,26.88737424,149.5221219,873.4284638,903.0693007,993.0023395,1105.23916,1234.132589,1139.234139,898.7383071,683.6575136,410.7892726,211.3283204,136.2984972,0,0,0,0
scen28,0,0,0,0,0,0,0.238677212,24.38423887,126.307059,795.2684795,957.3830958,1009.566171,1109.385538,1078.138115,1117.504779,903.2926578,682.1525112,408.8793943,215.3581207,132.5236475,0,0,0,0
scen29,0,0,0,0,0,0,0.21215967,20.13236172,128.4437525,699.6724009,1102.5786,854.8363159,1137.88453,921.3036322,1095.889033,1038.251093,717.7427219,422.5089564,204.8112608,125.6441022,0,0,0,0
scen30,0,0,0,0,0,0,0,22.76305324,116.7974234,657.7755998,1120.788479,976.0670505,1231.742857,855.84916,1142.272691,1028.048056,717.8164292,420.0451866,214.4087133,128.4322411,0,0,0,0
