209      0.001
407 6      0.001       0.004 Assignment maxsolar (14)
420 5      0.001       0.004 Assignment minsolar (0)
418 9      0.001       0.004 Loop       
418 10      0.001       0.004 Loop       
548 8      0.180       0.007 GAMS Fini   
548 7      0.506       0.007 Solve Fini schedule (21325)
417 1      0.003       0.004 Loop       
502 2      0.004       0.007 Equation   Const_chance_1 (2400)
494 3      0.010       0.004 Equation   Objective (1)
496 4      0.004       0.006 Equation   Const1 (2300)
