 ,value
scen76,1
scen100,1
scen99,1
scen72,1
scen21,1
scen15,1
scen18,1
scen16,0
scen19,0
scen82,0
scen78,0
scen46,0
scen32,0
scen54,0
scen67,0
scen86,0
scen39,0
scen41,0
scen42,0
scen28,0
scen83,0
scen75,0
scen88,0
scen85,0
scen8,0
scen7,0
scen80,0
scen81,0
scen52,0
scen49,0
scen20,0
scen53,0
scen77,0
scen55,0
scen65,0
scen29,0
scen33,0
scen6,0
scen47,0
scen68,0
scen27,0
scen93,0
scen4,0
scen22,0
scen13,0
scen1,0
scen14,0
scen91,0
scen90,0
scen25,0
scen50,0
scen10,0
scen9,0
scen66,0
scen71,0
scen74,0
scen17,0
scen38,0
scen31,0
scen97,0
scen3,0
scen87,0
scen30,0
scen62,0
scen35,0
scen84,0
scen73,0
scen98,0
scen64,0
scen63,0
scen79,0
scen48,0
scen23,0
scen95,0
scen94,0
scen12,0
scen92,0
scen34,0
scen37,0
scen96,0
scen51,0
scen11,0
scen43,0
scen69,0
scen56,0
scen61,0
scen36,0
scen24,0
scen45,0
scen60,0
scen26,0
scen57,0
scen40,0
scen5,0
scen70,0
scen44,0
scen59,0
scen2,0
scen89,0
scen58,0
