585      0.024
1417 7      0.178       0.004 Loop       
1418 3      0.024       0.004 Loop       
1560 1      0.199       0.021 GAMS Fini   
1502 8      0.026       0.021 Equation   Const_chance_1 (14400)
1418 6      0.025       0.004 Loop       
1418 10      0.038       0.004 Loop       
1560 9      0.800       0.021 Solve Fini schedule (127825)
1494 4      0.076       0.009 Equation   Objective (1)
1496 5      0.032       0.017 Equation   Const1 (13800)
1424 2      0.036       0.004 Assignment dummysolar (8062)
