 ,value
scen571,1
scen209,1
scen233,1
scen311,1
scen289,1
scen194,1
scen484,1
scen159,1
scen609,1
scen379,1
scen601,1
scen676,1
scen15,1
scen473,1
scen348,1
scen310,1
scen390,1
scen543,1
scen465,1
scen654,1
scen840,1
scen204,1
scen554,1
scen806,1
scen791,1
scen863,1
scen274,1
scen625,1
scen324,1
scen821,1
scen240,1
scen777,1
scen819,1
scen100,1
scen774,1
scen144,1
scen208,1
scen669,1
scen516,1
scen331,1
scen113,1
scen255,1
scen764,1
scen542,1
scen849,1
scen722,1
scen504,1
scen23,1
scen615,1
scen288,1
scen195,1
scen189,1
scen134,1
scen258,1
scen522,1
scen503,1
scen481,1
scen729,1
scen172,1
scen431,1
scen180,1
scen870,1
scen166,1
scen802,0
scen121,0
scen876,0
scen771,0
scen740,0
scen10,0
scen795,0
scen170,0
scen741,0
scen868,0
scen675,0
scen287,0
scen495,0
scen401,0
scen541,0
scen579,0
scen864,0
scen364,0
scen496,0
scen817,0
scen700,0
scen392,0
scen537,0
scen455,0
scen40,0
scen494,0
scen524,0
scen531,0
scen314,0
scen688,0
scen207,0
scen386,0
scen377,0
scen857,0
scen219,0
scen276,0
scen568,0
scen570,0
scen561,0
scen545,0
scen210,0
scen848,0
scen578,0
scen149,0
scen87,0
scen520,0
scen226,0
scen41,0
scen157,0
scen853,0
scen479,0
scen539,0
scen448,0
scen442,0
scen775,0
scen185,0
scen313,0
scen557,0
scen575,0
scen779,0
scen407,0
scen28,0
scen299,0
scen576,0
scen17,0
scen116,0
scen691,0
scen585,0
scen787,0
scen619,0
scen786,0
scen514,0
scen167,0
scen261,0
scen762,0
scen607,0
scen400,0
scen627,0
scen749,0
scen316,0
scen178,0
scen662,0
scen332,0
scen335,0
scen682,0
scen47,0
scen81,0
scen54,0
scen548,0
scen754,0
scen724,0
scen463,0
scen867,0
scen744,0
scen563,0
scen879,0
scen221,0
scen639,0
scen689,0
scen830,0
scen678,0
scen94,0
scen366,0
scen758,0
scen327,0
scen851,0
scen359,0
scen572,0
scen97,0
scen472,0
scen89,0
scen847,0
scen34,0
scen64,0
scen236,0
scen659,0
scen569,0
scen574,0
scen657,0
scen153,0
scen794,0
scen862,0
scen435,0
scen605,0
scen188,0
scen191,0
scen698,0
scen523,0
scen118,0
scen211,0
scen478,0
scen636,0
scen369,0
scen37,0
scen467,0
scen673,0
scen628,0
scen444,0
scen402,0
scen413,0
scen50,0
scen584,0
scen227,0
scen398,0
scen702,0
scen796,0
scen645,0
scen747,0
scen205,0
scen433,0
scen43,0
scen697,0
scen836,0
scen273,0
scen592,0
scen498,0
scen72,0
scen177,0
scen534,0
scen536,0
scen238,0
scen587,0
scen115,0
scen581,0
scen234,0
scen521,0
scen212,0
scen230,0
scen767,0
scen139,0
scen164,0
scen637,0
scen367,0
scen247,0
scen80,0
scen732,0
scen317,0
scen90,0
scen856,0
scen354,0
scen616,0
scen850,0
scen25,0
scen443,0
scen638,0
scen839,0
scen371,0
scen27,0
scen709,0
scen312,0
scen596,0
scen626,0
scen815,0
scen114,0
scen162,0
scen161,0
scen351,0
scen562,0
scen358,0
scen900,0
scen811,0
scen736,0
scen409,0
scen652,0
scen251,0
scen518,0
scen459,0
scen773,0
scen713,0
scen783,0
scen391,0
scen147,0
scen406,0
scen408,0
scen187,0
scen231,0
scen29,0
scen807,0
scen373,0
scen742,0
scen307,0
scen131,0
scen61,0
scen699,0
scen220,0
scen558,0
scen797,0
scen266,0
scen593,0
scen743,0
scen242,0
scen259,0
scen291,0
scen703,0
scen858,0
scen11,0
scen294,0
scen33,0
scen285,0
scen745,0
scen277,0
scen567,0
scen513,0
scen603,0
scen7,0
scen150,0
scen330,0
scen48,0
scen875,0
scen109,0
scen286,0
scen14,0
scen385,0
scen466,0
scen295,0
scen117,0
scen804,0
scen715,0
scen362,0
scen428,0
scen8,0
scen824,0
scen810,0
scen91,0
scen268,0
scen793,0
scen685,0
scen884,0
scen877,0
scen755,0
scen124,0
scen600,0
scen610,0
scen799,0
scen816,0
scen873,0
scen547,0
scen243,0
scen677,0
scen792,0
scen647,0
scen264,0
scen533,0
scen462,0
scen613,0
scen329,0
scen203,0
scen142,0
scen834,0
scen343,0
scen225,0
scen746,0
scen49,0
scen814,0
scen98,0
scen823,0
scen760,0
scen304,0
scen469,0
scen296,0
scen60,0
scen263,0
scen137,0
scen701,0
scen646,0
scen436,0
scen151,0
scen415,0
scen761,0
scen315,0
scen244,0
scen549,0
scen278,0
scen507,0
scen614,0
scen290,0
scen720,0
scen874,0
scen482,0
scen583,0
scen19,0
scen254,0
scen360,0
scen602,0
scen882,0
scen345,0
scen751,0
scen835,0
scen181,0
scen800,0
scen825,0
scen753,0
scen361,0
scen556,0
scen635,0
scen883,0
scen248,0
scen784,0
scen298,0
scen252,0
scen426,0
scen20,0
scen1,0
scen649,0
scen730,0
scen349,0
scen878,0
scen489,0
scen217,0
scen82,0
scen193,0
scen136,0
scen477,0
scen24,0
scen727,0
scen201,0
