,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
scen1,0,0,0,0,0,0,1.307007324,5.689622369,0,980.0071667,1064.390663,772.3205109,1053.630765,1343.138312,990.9153497,1014.360337,787.9030815,377.4117371,221.141856,120.7146727,0,0,0,0
scen2,0,0,0,0,0,0,0.231457371,24.8121016,96.22642933,640.7084369,1337.379738,1202.675058,1116.900385,1385.448923,1092.283169,1111.289434,839.6947032,386.3997639,224.7935843,129.0792498,0,0,0,0
scen3,0,0,0,0,0,0,0.366818256,30.19651911,144.7301464,587.6074226,876.8593439,1242.363448,1084.401483,1475.601815,1072.719365,1100.472641,841.800542,431.9924278,225.9495982,137.8805743,0,0,0,0
scen4,0,0,0,0,0,0,0.236839725,24.8678844,272.9121941,845.1704581,1470.451202,974.2826844,1134.126006,1312.761508,1284.609696,1129.37182,795.9832625,431.7046802,243.4813389,128.0491095,0,0,0,0
scen5,0,0,0,0,0,0,0.153754216,29.35027268,129.8095487,769.4264228,931.7205839,1068.964495,1403.862023,1344.379158,970.4698477,784.0810842,858.9962883,478.3696077,205.7457073,121.7810968,0,0,0,0
scen6,0,0,0,0,0,0,0.170289065,47.6613386,192.1780032,853.5155308,1139.679535,1240.62267,1013.992301,1441.914006,1104.119729,1069.135897,727.4589795,407.4493216,161.9622779,125.4011965,0,0,0,0
scen7,0,0,0,0,0,0,0,21.27007653,104.5444037,717.7116098,677.0125584,1337.089591,967.2605989,892.5554094,1135.81048,851.2792369,917.6480556,437.3508939,190.1993066,127.0245312,0,0,0,0
scen8,0,0,0,0,0,0,0,28.69363715,68.82373144,696.2640537,781.782229,531.4158344,991.5369827,1205.454472,1233.696471,1035.277063,815.1635687,537.6386108,189.0874515,111.0632779,0,0,0,0
scen9,0,0,0,0,0,0,0,16.18208269,71.41654065,893.5270341,877.1372035,1222.708948,1363.400904,1023.832593,969.0879159,989.1387411,925.4209115,449.7250912,199.2734282,115.9175091,0,0,0,0
scen10,0,0,0,0,0,0,0,24.31023722,84.3222618,782.550893,677.0586015,1235.843182,863.3361966,693.0387157,1086.8957,777.5020951,773.4446661,497.2950518,200.3897319,130.1068453,0,0,0,0
scen11,0,0,0,0,0,0,0,21.80143039,18.43415517,794.2108302,1331.067096,1075.783067,1295.432267,1183.441781,751.5798778,741.6198873,725.8091457,456.7074413,170.9817348,112.0438057,0,0,0,0
scen12,0,0,0,0,0,0,0.120961202,43.87968311,203.4647873,667.882692,942.7600533,849.1222317,1140.257837,1087.856904,1343.827249,1112.975836,706.0115684,445.8369672,124.6775195,120.3923454,0,0,0,0
scen13,0,0,0,0,0,0,0,23.28381299,38.34759467,763.8530352,1027.729977,1432.529086,1133.585374,1035.9187,1279.147409,1164.228301,652.5405337,499.7881375,202.1620117,138.3281708,0,0,0,0
scen14,0,0,0,0,0,0,0.479261815,21.19489575,165.5388412,418.9281158,1263.905799,666.9670469,1213.429793,1316.878678,897.0301517,822.924331,722.7097054,560.8442939,206.8081257,127.5285977,0,0,0,0
scen15,0,0,0,0,0,0,0,29.97517418,22.32565196,723.3992678,543.9820297,716.5845242,935.3502849,987.583912,1192.131595,960.6345099,558.096734,432.1338816,227.3336535,111.0565615,0,0,0,0
scen16,0,0,0,0,0,0,0.166552754,8.201455125,129.4999688,648.7752752,1167.621254,1395.883162,1345.290417,1351.751777,1127.678112,994.5165244,795.6328802,421.0145156,204.2699523,121.5168372,0,0,0,0
scen17,0,0,0,0,0,0,0.034477758,2.214839293,192.3581263,752.3226076,536.7042618,1308.376044,1355.95671,696.441603,1195.058515,1104.427322,556.6256529,359.9260653,166.8313808,134.5700538,0,0,0,0
scen18,0,0,0,0,0,0,0.609515831,32.80186396,240.7977967,1033.462165,1479.474994,843.9456804,1215.440576,1607.043773,938.8438042,791.3143683,770.2255787,440.388451,197.838885,123.6871755,0,0,0,0
