785      0.003
2018 2      0.003       0.004 Loop       
2148 7      0.090       0.030 Solve Fini schedule (191725)
2096 4      0.023       0.023 Equation   Const1 (20700)
2094 6      0.051       0.012 Equation   Objective (1)
2029 3      0.003       0.006 Assignment BigM (21600)
2148 10      0.041       0.030 GAMS Fini   
2017 1      0.052       0.004 Loop       
2018 9      0.003       0.004 Loop       
2018 5      0.003       0.004 Loop       
2102 8      0.017       0.030 Equation   Const_chance_1 (21600)
