,value
scen1194,1
scen930,1
scen1193,1
scen931,1
scen152,1
scen1049,1
scen1192,1
scen1149,1
scen1191,1
scen1151,1
scen1195,1
scen932,1
scen878,0
scen1150,0
scen153,0
scen929,0
scen1196,0
scen1152,0
scen333,0
scen1098,0
scen1197,0
scen1050,0
scen877,0
scen71,0
scen946,0
scen1099,0
scen682,0
scen72,0
scen997,0
scen998,0
scen1125,0
scen331,0
scen154,0
scen1148,0
scen1190,0
scen81,0
scen1199,0
scen933,0
scen1071,0
scen999,0
scen193,0
scen1000,0
scen332,0
scen1096,0
scen1070,0
scen602,0
scen852,0
scen1124,0
scen510,0
scen827,0
scen828,0
scen1198,0
scen565,0
scen683,0
scen701,0
scen958,0
scen396,0
scen329,0
scen702,0
scen1200,0
scen854,0
scen945,0
scen1051,0
scen851,0
scen876,0
scen957,0
scen928,0
scen511,0
scen496,0
scen195,0
scen82,0
scen1073,0
scen879,0
scen853,0
scen1022,0
scen494,0
scen394,0
scen947,0
scen194,0
scen684,0
scen1021,0
scen151,0
scen617,0
scen1174,0
scen1153,0
scen509,0
scen334,0
scen173,0
scen1126,0
scen224,0
scen599,0
scen819,0
scen318,0
scen1123,0
scen395,0
scen487,0
scen936,0
scen568,0
scen495,0
scen937,0
scen289,0
scen681,0
scen325,0
scen556,0
scen514,0
scen33,0
scen564,0
scen934,0
scen233,0
scen799,0
scen664,0
scen272,0
scen155,0
scen875,0
scen349,0
scen618,0
scen616,0
scen116,0
scen83,0
scen1097,0
scen192,0
scen189,0
scen253,0
scen654,0
scen174,0
scen836,0
scen346,0
scen1172,0
scen283,0
scen70,0
scen286,0
scen165,0
scen938,0
scen1072,0
scen1023,0
scen330,0
scen1175,0
scen107,0
scen571,0
scen656,0
scen73,0
scen1048,0
scen817,0
scen996,0
scen662,0
scen959,0
scen737,0
scen106,0
scen956,0
scen113,0
scen513,0
scen196,0
scen427,0
scen655,0
scen472,0
scen74,0
scen935,0
scen285,0
scen428,0
scen826,0
scen759,0
scen6,0
scen317,0
scen445,0
scen508,0
scen350,0
scen282,0
scen603,0
scen761,0
scen1171,0
scen359,0
scen276,0
scen567,0
scen512,0
scen1127,0
scen103,0
scen486,0
scen600,0
scen343,0
scen488,0
scen572,0
scen960,0
scen948,0
scen225,0
scen898,0
scen1109,0
scen663,0
scen820,0
scen164,0
scen961,0
scen397,0
scen685,0
scen703,0
scen557,0
scen190,0
scen104,0
scen191,0
scen335,0
scen79,0
scen288,0
scen615,0
scen653,0
scen1176,0
scen1189,0
scen835,0
scen112,0
scen784,0
scen1040,0
scen118,0
scen172,0
scen507,0
scen1069,0
scen708,0
scen28,0
scen35,0
scen114,0
scen686,0
scen818,0
scen1100,0
scen473,0
scen348,0
scen829,0
scen466,0
scen1025,0
scen244,0
scen29,0
scen834,0
scen601,0
scen566,0
scen111,0
scen115,0
scen393,0
scen242,0
scen75,0
scen850,0
scen175,0
scen517,0
scen758,0
scen347,0
scen197,0
scen1168,0
scen241,0
scen493,0
scen426,0
scen700,0
scen240,0
