,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
scen1,0,0,0,0,0,0,0.298296163,21.94972714,77.90406009,764.0695528,1113.32893,1176.761479,857.3768008,893.7968855,1099.745501,1020.069065,826.8274733,423.9144008,194.2331563,124.4039143,0,0,0,0
scen2,0,0,0,0,0,0,0.960890298,27.28704917,111.6463055,643.653725,634.9087913,1203.028021,1166.120701,1313.645808,1108.898385,851.0156271,763.2142281,450.5235682,171.4579737,125.0479977,0,0,0,0
scen3,0,0,0,0,0,0,0.253768006,16.37598572,113.7020124,816.7918872,963.5469418,896.970373,1274.703809,1457.48606,1051.078543,1074.74878,714.1611459,469.7793643,176.0179725,120.687694,0,0,0,0
scen4,0,0,0,0,0,0,0.748955801,32.53823005,47.85587138,819.2717592,1010.915226,986.6787306,804.918642,1355.764215,1150.257255,1031.248454,794.6862252,469.7490695,159.8139131,121.6964002,0,0,0,0
scen5,0,0,0,0,0,0,0,21.37184556,146.3187802,757.1233725,875.8163053,1093.812018,1173.722086,905.4210913,1271.58983,942.4310758,744.4940659,419.7053016,171.1663223,126.6275783,0,0,0,0
scen6,0,0,0,0,0,0,0.184789039,22.08259798,185.728895,865.2473516,933.5074156,1145.581311,1163.261733,1075.023744,1330.892215,1093.587353,861.3927666,446.8627782,192.1305177,113.4503752,0,0,0,0
scen7,0,0,0,0,0,0,0,35.07765379,36.35834726,641.8738035,1192.407612,826.6737425,1248.547595,1360.497687,1099.677514,978.9937388,729.8755437,475.0279557,172.3548562,98.63083835,0,0,0,0
scen8,0,0,0,0,0,0,0.134103427,36.60963216,71.97313197,869.1579637,691.7170579,1480.760811,1353.556516,1297.114307,1136.627522,759.8953208,812.5141877,458.3611123,183.7942119,128.5547422,0,0,0,0
scen9,0,0,0,0,0,0,0.388570909,47.1675977,126.600586,682.7180659,1016.304022,928.5264866,1034.782495,1145.436858,1220.333515,948.5758728,737.9146629,482.42778,180.9215125,117.5377369,0,0,0,0
scen10,0,0,0,0,0,0,0.153873066,38.3811229,121.636183,653.2008713,1154.618065,929.8612745,1172.610039,1072.239905,1223.577029,933.6315091,765.7978964,451.9292922,193.8538548,117.6275175,0,0,0,0
scen11,0,0,0,0,0,0,0,36.59221869,116.115251,726.913289,964.4857922,895.8826058,1182.839443,1090.794925,1111.623129,946.7187222,772.9596843,494.29583,184.4818524,128.4028441,0,0,0,0
scen12,0,0,0,0,0,0,0.084059517,32.77749167,127.7108519,720.4350391,1117.542156,886.6134781,806.0929169,1121.350652,1141.993396,909.6881505,753.3798602,475.6967653,170.075278,118.0915073,0,0,0,0
scen13,0,0,0,0,0,0,0,20.62456734,132.722179,494.3725781,882.9041431,962.4436054,1179.114709,1323.488283,1218.312127,904.5065563,706.6992227,470.8419455,178.4673282,119.659493,0,0,0,0
scen14,0,0,0,0,0,0,0,28.81386354,126.2642062,635.7429567,722.695175,1213.981298,931.2826362,1424.341989,1255.194776,981.1541569,738.9244932,471.0458169,169.6689234,127.2413312,0,0,0,0
scen15,0,0,0,0,0,0,0.175695026,5.99244388,132.190399,648.2219981,1078.867548,827.7210402,1216.563407,1190.424579,1146.397908,1147.600151,776.3268966,486.281918,176.8809479,119.5824575,0,0,0,0
scen16,0,0,0,0,0,0,0,19.03745924,139.3525382,532.7044301,1034.907799,992.698436,1184.609182,876.9390282,854.7524405,1000.498996,764.9834161,445.9470519,175.2251914,124.6104268,0,0,0,0
scen17,0,0,0,0,0,0,0.49274994,31.08372368,140.6916657,670.4768792,794.7808533,959.5988667,1159.97275,1043.151801,1097.555613,976.4702659,733.6177578,492.4724273,200.7488083,134.8241829,0,0,0,0
scen18,0,0,0,0,0,0,0,20.35204364,119.3598945,776.2619068,880.6689287,915.8392935,1242.862056,916.2802459,1047.877452,901.0489075,843.0325098,497.1970879,186.7693448,134.191477,0,0,0,0
scen19,0,0,0,0,0,0,0.385434843,21.22960762,83.50466576,741.5488162,1069.187533,950.8265455,1222.143257,1168.867277,952.6072079,1005.785251,686.6953801,439.6814347,178.0125252,148.0510075,0,0,0,0
scen20,0,0,0,0,0,0,0.157733399,9.939274259,265.183578,777.3912599,999.3299497,1132.154701,1233.923643,962.2318444,1059.551726,982.7540619,733.587608,450.0195118,177.4580622,119.5157877,0,0,0,0
scen21,0,0,0,0,0,0,0.029012366,13.00788452,160.2776487,782.5189365,975.6256638,741.624096,1244.774061,1344.497505,934.3070571,1050.391131,882.6871679,450.3625753,204.0932398,148.0200701,0,0,0,0
scen22,0,0,0,0,0,0,0.057645011,16.70901756,88.07988914,409.3254616,920.4732256,1197.170606,1294.225116,1110.63397,1155.589513,1102.263641,745.8662632,396.0710639,203.9976573,142.5571085,0,0,0,0
scen23,0,0,0,0,0,0,0.018593749,24.15798208,166.3027982,799.5327823,1145.973634,1129.521431,1061.404155,1260.222323,1328.107708,935.0069501,704.6087356,462.1821186,184.1087249,126.3059828,0,0,0,0
scen24,0,0,0,0,0,0,0,19.20560451,138.1323895,657.1991891,734.8935544,1079.055283,1102.427471,1005.114396,1341.835251,966.9754508,734.3865371,445.9957103,175.9697149,113.8010036,0,0,0,0
scen25,0,0,0,0,0,0,0.301781263,17.00703273,44.00964246,794.0453233,1077.258178,869.082147,996.0503882,1286.3384,1358.703429,991.8738111,756.9311565,442.6990301,161.3967693,123.5312067,0,0,0,0
scen26,0,0,0,0,0,0,0.248648922,36.08858583,135.8147819,624.2419432,762.7413047,704.5291759,1230.985922,1126.517431,1214.56289,1072.998889,719.2474136,469.5840998,174.80256,115.9183108,0,0,0,0
scen27,0,0,0,0,0,0,0.316407144,19.20107078,22.19067958,852.0308839,670.0988564,745.6795947,1402.239583,1163.966046,1007.99769,1105.663815,849.0448736,458.3651412,200.0474048,116.0249711,0,0,0,0
scen28,0,0,0,0,0,0,0.343431268,16.01695638,61.63726616,766.8480399,738.3709306,546.0868844,1375.200452,1220.355719,1013.585727,1133.249943,859.448813,478.0205686,190.0152636,114.8592661,0,0,0,0
scen29,0,0,0,0,0,0,0,26.3596068,132.3008066,736.0151043,920.4784409,819.409593,874.9211716,1458.287294,1083.58733,1134.250717,715.9535078,441.949566,185.625671,138.2852174,0,0,0,0
scen30,0,0,0,0,0,0,0,25.48066149,202.409265,738.9400991,918.6986043,798.3260346,1026.901406,1180.982762,1211.191785,1059.382955,683.4878473,469.8885091,214.359705,153.7175682,0,0,0,0
scen31,0,0,0,0,0,0,0,16.9257527,138.7989434,783.1242664,1104.952828,921.4818774,999.5601368,1270.496531,1012.186537,977.9094763,672.7505333,431.1152927,189.9942444,129.2921742,0,0,0,0
scen32,0,0,0,0,0,0,0.331612547,21.80665957,128.6985972,739.9624373,699.5449757,826.1975993,1178.147655,1093.428624,921.9052554,968.6790664,791.4870798,475.443965,172.6561038,137.0715333,0,0,0,0
scen33,0,0,0,0,0,0,0.084696945,8.124053381,121.0664514,640.2761528,662.7116255,1271.033844,1268.739501,1354.142946,1094.84003,933.1638548,785.4545936,421.5486636,207.1178554,130.3715963,0,0,0,0
scen34,0,0,0,0,0,0,0,10.77961337,182.6863846,629.3291805,875.6863758,984.3948439,962.2561381,1141.033449,1196.492923,1142.759925,687.2728588,389.8956322,196.729409,129.321673,0,0,0,0
scen35,0,0,0,0,0,0,0,21.74749995,141.7223604,723.1450939,1025.436956,940.151726,1352.796457,1268.487553,1262.059148,970.3123597,734.7560244,458.6201272,203.8319991,109.3262489,0,0,0,0
scen36,0,0,0,0,0,0,0,15.03540802,66.53325443,426.0829424,793.422212,966.1339952,997.8540941,1170.528298,1357.539117,971.6325729,772.2089742,473.0228507,189.6382118,122.2439573,0,0,0,0
scen37,0,0,0,0,0,0,0,21.42221101,17.4483911,659.5173725,875.8209742,1110.248288,1191.76039,1250.785458,1223.018738,1047.503748,918.5589484,511.6336876,179.658609,131.592983,0,0,0,0
scen38,0,0,0,0,0,0,0,16.20165933,0,733.1565838,986.4881411,1259.384125,1193.542089,1145.726231,1288.955363,1003.183786,756.4059303,511.9129261,194.4309995,136.9131353,0,0,0,0
scen39,0,0,0,0,0,0,0.197445069,24.33335431,91.52554362,751.5406817,654.3195441,1202.153394,1012.958458,1340.979431,1110.150997,1054.447138,722.4433859,440.7171913,196.9818565,120.7648212,0,0,0,0
scen40,0,0,0,0,0,0,0,14.88432857,103.1746479,715.9223651,734.3976707,1093.686526,936.7358758,1326.2971,1110.120499,1045.536486,684.3693416,438.6695048,184.101297,138.1347559,0,0,0,0
scen41,0,0,0,0,0,0,0.132126201,28.39418182,101.7303096,647.1375692,933.7090316,1493.647512,1076.78836,1003.677633,1131.226649,1035.301275,877.8401962,474.0949973,193.4265235,114.9571934,0,0,0,0
scen42,0,0,0,0,0,0,0.659077339,17.61802708,120.35054,581.5200772,712.6097474,851.199262,1147.932999,1369.642686,1062.847102,1012.851916,798.7828605,486.2216006,186.1890818,121.7215499,0,0,0,0
scen43,0,0,0,0,0,0,0,22.64988194,159.4523713,641.5586535,1012.007467,977.8821543,1271.900277,1440.808853,1147.708319,1001.597354,771.6525465,446.1566005,207.999434,123.3660136,0,0,0,0
scen44,0,0,0,0,0,0,0,19.37648604,153.6789136,597.4749171,1004.071065,803.566852,1152.572087,1011.016879,930.0073294,1110.449592,795.3035549,434.0930744,207.3819496,116.0060084,0,0,0,0
scen45,0,0,0,0,0,0,0.20725669,26.34192688,173.8680682,768.8728791,1056.0704,1120.251915,1064.620436,945.7589955,1008.286958,909.6863305,780.3607296,451.3912577,180.4947097,124.7887074,0,0,0,0
scen46,0,0,0,0,0,0,0.083749278,17.82790619,89.77358458,706.9044713,861.1558247,949.0401913,1206.657233,1236.724796,1065.438113,1110.260462,666.2163774,395.703797,185.3425966,125.1745598,0,0,0,0
scen47,0,0,0,0,0,0,0.29851047,14.4405213,78.29942833,746.370576,834.3365236,1033.542691,1202.151425,1113.463436,1015.717737,1088.653468,680.7601111,425.7026403,201.0204747,123.4940627,0,0,0,0
scen48,0,0,0,0,0,0,0.651369721,21.49914186,63.52606806,716.7064274,744.2278039,959.4112532,1223.334785,1047.35441,1115.66575,1046.213943,740.1719381,419.5922014,205.0249315,126.5235064,0,0,0,0
scen49,0,0,0,0,0,0,0.10339222,16.60519319,115.5413108,871.6552686,709.0219664,975.7503018,1047.947208,1305.448539,1355.718418,909.9441332,838.5545087,375.2090887,173.538479,126.6164683,0,0,0,0
scen50,0,0,0,0,0,0,0,11.59047088,97.08297348,819.9795003,1067.244013,983.2715064,1107.815965,1125.858706,963.3967914,1041.378689,724.1553643,435.1740364,175.6997126,133.9062375,0,0,0,0
scen51,0,0,0,0,0,0,0.241937215,0.511876233,83.99942628,761.9277901,1045.566842,1268.131953,1180.454896,1013.002291,991.1697639,974.1904861,704.6378606,459.9347564,170.3766431,116.1254778,0,0,0,0
scen52,0,0,0,0,0,0,0.867861227,25.1988218,85.26767708,859.7876423,731.2686393,1143.855476,1136.157957,908.6211589,1096.663656,928.7079925,823.0696494,426.2489654,203.5205369,132.1068751,0,0,0,0
scen53,0,0,0,0,0,0,0.520514428,19.06717448,148.7966221,526.6561106,968.6772227,1264.463363,1276.051992,966.4145817,1296.246246,941.7621946,714.5757058,465.7063717,183.3671179,116.5359185,0,0,0,0
scen54,0,0,0,0,0,0,0,19.02709403,48.44763012,847.6347372,952.5347045,1120.294073,1169.260598,1253.552922,1144.72179,1075.967938,757.1898835,445.9450209,179.1801681,123.5637836,0,0,0,0
scen55,0,0,0,0,0,0,0,21.29180858,100.8977291,730.2001894,1043.947516,1157.130884,1256.166702,1143.728694,1267.161725,1178.46837,768.8498223,453.2054604,178.321666,111.8703856,0,0,0,0
scen56,0,0,0,0,0,0,0.198373328,15.55136002,161.9212257,758.9669253,785.0299853,887.7720155,1120.063861,1147.895533,999.1763382,964.3353223,766.0917613,452.2520947,181.0575856,136.5342453,0,0,0,0
scen57,0,0,0,0,0,0,0,33.27298553,58.74055991,675.1321267,737.0448341,955.1381234,1146.300908,1058.230282,1184.836366,920.3994956,783.8454611,502.0213444,174.4305945,122.5901397,0,0,0,0
scen58,0,0,0,0,0,0,0,2.647561246,112.0172556,483.5378602,860.9931719,977.0124653,1227.558591,1320.436239,1076.889193,955.2402327,840.6606888,415.2152771,195.6385283,120.7283877,0,0,0,0
scen59,0,0,0,0,0,0,0,28.68433195,118.7683207,761.1327748,949.8934824,1153.801784,965.9860325,1391.973711,1150.800621,981.2818901,810.3087745,480.2673216,217.1823685,127.6042303,0,0,0,0
scen60,0,0,0,0,0,0,0,30.89970926,160.7365842,690.1271411,939.3933784,1219.311447,1318.050919,1445.513709,1082.699675,961.8905622,707.425329,511.2429474,178.3713284,132.2383201,0,0,0,0
scen61,0,0,0,0,0,0,0,18.48450111,201.1514464,703.34961,865.7853711,1181.123178,1093.368019,982.8484012,1111.500841,803.737941,683.472505,453.7649315,198.920109,125.0797827,0,0,0,0
scen62,0,0,0,0,0,0,0.299338315,7.842622863,123.0153737,683.4144222,1165.1018,863.4806647,1301.078921,1007.062277,1141.581511,813.639582,712.0501715,456.6922965,191.8489066,123.1033155,0,0,0,0
scen63,0,0,0,0,0,0,0.246903804,5.179070121,155.3239002,734.3241552,1091.478929,876.5759528,1345.459585,1116.542906,1208.318418,753.4888915,731.6294709,439.9404364,186.5108797,122.5868564,0,0,0,0
scen64,0,0,0,0,0,0,0.387495511,10.84188629,114.8225346,836.1710605,1186.694,1123.410309,1250.638207,1143.648175,1192.523051,708.0438259,820.8594556,447.490131,172.3629726,126.7644669,0,0,0,0
scen65,0,0,0,0,0,0,0,15.39768354,106.2615999,804.0438236,914.3808023,943.5518574,1102.234787,1236.665818,1045.453567,791.9973478,744.0875025,466.5245438,183.7946212,133.0890299,0,0,0,0
scen66,0,0,0,0,0,0,0.615788988,23.10648696,114.5849601,675.6421174,874.2844264,971.3973615,1135.494467,1306.264146,1244.878958,947.943413,773.797026,474.6752506,198.7717235,120.2081953,0,0,0,0
scen67,0,0,0,0,0,0,0.511037441,36.35139558,84.67643378,682.6602698,1160.805518,970.5552362,995.0909185,1261.117833,1285.90132,891.0425272,807.4616403,421.0535163,197.4758712,121.0513333,0,0,0,0
scen68,0,0,0,0,0,0,0,24.1742004,73.80917441,847.3308801,1088.819018,1229.322462,1109.41878,1217.484015,903.2958775,1206.902801,703.5527626,442.9995489,188.9365985,121.8525739,0,0,0,0
scen69,0,0,0,0,0,0,0.010594296,25.51491605,200.471572,806.2995786,1182.71822,947.1178445,1009.529175,1342.835984,937.5062291,1038.893619,710.9116918,434.8583169,180.88035,140.9480373,0,0,0,0
scen70,0,0,0,0,0,0,0.285008966,22.55866536,187.4866622,772.1402957,739.0510463,1105.990219,1148.859489,1114.029064,1004.562018,938.9891037,711.5003967,442.646528,184.8832373,128.9929058,0,0,0,0
scen71,0,0,0,0,0,0,0,33.02997278,29.3508656,623.0174777,639.1059705,1143.408276,588.6320805,1145.297352,1251.930624,942.5411367,767.2032806,457.8765961,213.2712303,110.0882597,0,0,0,0
scen72,0,0,0,0,0,0,0.051521797,7.373987633,48.23697812,629.9083741,1006.726559,890.2818228,956.7492517,1181.483094,1306.855867,971.7757959,772.2858928,416.0386906,186.0015599,123.351892,0,0,0,0
scen73,0,0,0,0,0,0,0,6.913779932,92.17881926,580.8096453,980.3173971,833.6659148,814.7978782,1272.69373,1088.533401,803.7788027,733.003862,430.0534164,174.9007671,128.7423973,0,0,0,0
scen74,0,0,0,0,0,0,0.374479334,15.18485878,53.29990178,778.2279364,931.3513264,1158.562993,864.9840167,1200.987659,1234.766838,977.248386,833.2770211,409.003883,179.4947364,123.6915096,0,0,0,0
scen75,0,0,0,0,0,0,0.308629694,13.91572934,59.29216646,540.1053747,970.9522415,1043.491307,1301.883026,1393.63559,1214.989947,1029.600568,711.3198979,484.7474618,158.186249,123.5081122,0,0,0,0
scen76,0,0,0,0,0,0,0.003131713,24.029618,60.76738177,683.0416916,673.0491145,905.6559613,1186.130704,1091.663023,979.2710753,944.4708531,729.5056099,450.0921912,191.0894896,134.2693208,0,0,0,0
scen77,0,0,0,0,0,0,0,13.37966071,209.8108451,746.6076703,929.2098262,1263.636734,1238.954171,1237.757181,1186.204034,1001.445536,735.9365527,463.1279251,175.6271516,119.9294479,0,0,0,0
