,value
scen294,1
scen122,1
scen178,1
scen254,1
scen291,1
scen293,1
scen292,1
scen106,1
scen279,1
scen275,1
scen282,1
scen42,1
scen281,1
scen280,1
scen182,1
scen297,0
scen276,0
scen274,0
scen283,0
scen43,0
scen41,0
scen295,0
scen123,0
scen183,0
scen121,0
scen213,0
scen7,0
scen136,0
scen107,0
scen296,0
scen253,0
scen5,0
scen290,0
scen196,0
scen177,0
scen90,0
scen278,0
scen184,0
scen29,0
scen181,0
scen44,0
scen277,0
scen273,0
scen272,0
scen108,0
scen4,0
scen266,0
scen102,0
scen174,0
scen16,0
scen299,0
scen105,0
scen298,0
scen35,0
scen109,0
scen179,0
scen175,0
scen137,0
scen6,0
scen124,0
scen156,0
scen197,0
scen94,0
scen212,0
scen269,0
scen176,0
scen33,0
scen51,0
scen157,0
scen100,0
scen17,0
scen8,0
scen103,0
scen267,0
scen98,0
scen27,0
scen203,0
scen99,0
scen180,0
scen135,0
scen172,0
scen3,0
scen81,0
scen53,0
scen18,0
scen28,0
scen92,0
scen268,0
scen80,0
scen155,0
scen139,0
scen88,0
scen270,0
scen104,0
scen258,0
scen91,0
scen82,0
scen300,0
scen215,0
scen58,0
scen257,0
scen52,0
scen271,0
scen185,0
scen34,0
scen186,0
scen260,0
scen57,0
scen89,0
scen214,0
scen241,0
scen154,0
scen25,0
scen32,0
scen96,0
scen60,0
scen151,0
scen205,0
scen125,0
scen111,0
scen152,0
scen9,0
scen10,0
scen14,0
scen265,0
scen101,0
scen2,0
scen211,0
scen83,0
scen153,0
scen128,0
scen251,0
scen50,0
scen206,0
scen110,0
scen45,0
scen143,0
scen36,0
scen199,0
scen19,0
scen15,0
scen150,0
scen209,0
scen193,0
scen113,0
scen147,0
scen252,0
scen256,0
scen171,0
scen30,0
scen140,0
scen144,0
scen158,0
scen250,0
scen255,0
scen261,0
scen126,0
scen170,0
scen289,0
scen194,0
scen148,0
scen120,0
scen173,0
scen97,0
scen40,0
scen71,0
scen95,0
scen54,0
scen190,0
scen207,0
scen138,0
scen263,0
scen146,0
scen240,0
scen31,0
scen21,0
scen284,0
scen13,0
scen59,0
scen127,0
scen26,0
scen93,0
scen1,0
scen222,0
scen242,0
scen87,0
scen129,0
scen112,0
scen134,0
scen264,0
scen72,0
scen210,0
scen204,0
scen159,0
scen49,0
scen115,0
scen262,0
scen200,0
scen195,0
scen239,0
scen12,0
scen149,0
scen79,0
scen11,0
scen259,0
scen224,0
scen130,0
scen244,0
scen61,0
scen234,0
scen247,0
scen145,0
scen288,0
scen160,0
scen235,0
scen198,0
scen37,0
scen162,0
scen141,0
scen237,0
scen133,0
scen142,0
scen163,0
scen189,0
scen216,0
scen78,0
scen114,0
scen243,0
scen56,0
scen39,0
scen24,0
scen161,0
scen20,0
scen192,0
scen63,0
scen285,0
scen248,0
scen48,0
scen64,0
scen46,0
scen233,0
scen62,0
scen55,0
scen70,0
scen84,0
scen119,0
scen201,0
scen238,0
scen245,0
scen164,0
scen187,0
scen47,0
scen231,0
scen225,0
scen202,0
scen221,0
scen169,0
scen232,0
scen73,0
scen228,0
scen74,0
scen38,0
scen23,0
scen86,0
scen218,0
scen246,0
scen132,0
scen77,0
scen287,0
scen226,0
scen208,0
scen22,0
scen131,0
scen188,0
scen249,0
scen191,0
scen165,0
scen236,0
scen65,0
scen286,0
scen85,0
scen217,0
scen168,0
scen75,0
scen69,0
scen116,0
scen220,0
scen76,0
scen166,0
scen118,0
scen66,0
scen230,0
scen219,0
scen223,0
scen227,0
scen167,0
scen117,0
scen67,0
scen229,0
scen68,0
