,value
scen450,1
scen335,1
scen153,1
scen104,1
scen133,1
scen398,1
scen154,1
scen152,1
scen233,1
scen404,1
scen211,1
scen28,1
scen131,1
scen213,1
scen449,1
scen336,1
scen132,1
scen214,1
scen325,1
scen102,1
scen121,1
scen397,1
scen53,1
scen155,1
scen103,1
scen122,1
scen275,1
scen46,1
scen231,1
scen7,1
scen6,1
scen244,0
scen225,0
scen215,0
scen387,0
scen84,0
scen106,0
scen85,0
scen210,0
scen83,0
scen227,0
scen344,0
scen81,0
scen156,0
scen274,0
scen448,0
scen209,0
scen276,0
scen228,0
scen207,0
scen44,0
scen212,0
scen343,0
scen289,0
scen5,0
scen234,0
scen333,0
scen328,0
scen47,0
scen399,0
scen418,0
scen405,0
scen193,0
scen124,0
scen45,0
scen134,0
scen251,0
scen337,0
scen370,0
scen329,0
scen16,0
scen32,0
scen425,0
scen321,0
scen388,0
scen232,0
scen123,0
scen182,0
scen224,0
scen151,0
scen31,0
scen183,0
scen247,0
scen169,0
scen29,0
scen250,0
scen332,0
scen427,0
scen360,0
scen129,0
scen401,0
scen230,0
scen422,0
scen74,0
scen426,0
scen439,0
scen245,0
scen301,0
scen226,0
scen130,0
scen342,0
scen400,0
scen334,0
scen277,0
scen3,0
scen437,0
scen424,0
scen290,0
scen105,0
scen208,0
scen273,0
scen9,0
scen396,0
scen170,0
scen157,0
scen341,0
scen49,0
scen391,0
scen390,0
scen82,0
scen30,0
scen421,0
scen2,0
scen27,0
scen248,0
scen447,0
scen192,0
scen125,0
scen51,0
scen135,0
scen52,0
scen322,0
scen272,0
scen43,0
scen389,0
scen403,0
scen438,0
scen420,0
scen411,0
scen402,0
scen80,0
scen279,0
scen440,0
scen428,0
scen253,0
scen184,0
scen339,0
scen4,0
scen55,0
scen280,0
scen394,0
scen8,0
scen446,0
scen307,0
scen340,0
scen34,0
scen444,0
scen297,0
scen78,0
scen291,0
scen327,0
scen293,0
scen308,0
scen258,0
scen288,0
scen299,0
scen120,0
scen150,0
scen143,0
scen298,0
scen345,0
scen256,0
scen278,0
scen393,0
scen257,0
scen75,0
scen259,0
scen77,0
scen359,0
scen194,0
scen15,0
scen323,0
scen292,0
scen406,0
scen433,0
scen415,0
scen419,0
scen107,0
scen294,0
scen86,0
scen324,0
scen436,0
scen50,0
scen17,0
scen252,0
scen395,0
scen54,0
scen300,0
scen417,0
scen216,0
scen101,0
scen430,0
scen128,0
scen246,0
scen1,0
scen158,0
scen368,0
scen369,0
scen76,0
scen331,0
scen229,0
scen266,0
scen265,0
scen168,0
scen429,0
scen33,0
scen296,0
scen26,0
scen295,0
scen136,0
scen249,0
scen338,0
scen206,0
scen255,0
scen371,0
scen36,0
scen35,0
scen410,0
scen358,0
scen181,0
scen13,0
scen412,0
scen161,0
scen356,0
scen326,0
scen185,0
scen414,0
scen367,0
scen217,0
scen309,0
scen416,0
scen48,0
scen72,0
scen407,0
scen441,0
scen423,0
scen191,0
scen310,0
scen73,0
scen14,0
scen305,0
scen302,0
scen160,0
scen87,0
scen42,0
scen282,0
scen378,0
scen445,0
scen79,0
scen286,0
scen392,0
scen100,0
scen311,0
scen408,0
scen431,0
scen199,0
scen361,0
scen287,0
scen381,0
scen413,0
scen235,0
scen172,0
scen434,0
scen159,0
scen205,0
scen254,0
scen200,0
scen271,0
scen281,0
scen171,0
scen119,0
scen357,0
scen264,0
scen56,0
scen243,0
scen267,0
scen89,0
scen304,0
scen147,0
scen149,0
scen91,0
scen242,0
scen144,0
scen88,0
scen319,0
scen201,0
scen195,0
scen196,0
scen25,0
scen346,0
scen18,
scen222,
scen443,
scen223,
scen385,
scen166,
scen57,
scen263,
scen380,
scen108,
scen236,
scen40,
scen435,
scen303,
scen127,
scen92,
scen19,
scen90,
scen12,
scen167,
scen10,
scen202,
scen20,
scen379,
scen24,
scen203,
scen442,
scen283,
scen363,
scen218,
scen386,
scen198,
scen174,
scen362,
scen180,
scen432,
scen173,
scen221,
scen197,
scen372,
scen162,
scen330,
scen99,
scen146,
scen145,
scen382,
scen260,
scen142,
scen285,
scen204,
scen409,
scen240,
scen241,
scen98,
scen376,
scen237,
scen163,
scen137,
scen364,
scen353,
scen318,
scen384,
scen175,
scen347,
scen113,
scen306,
scen110,
scen141,
scen165,
scen269,
scen268,
scen37,
scen270,
scen354,
scen320,
scen261,
scen38,
scen178,
scen148,
scen312,
scen179,
scen61,
scen118,
scen355,
scen59,
scen62,
scen374,
scen377,
scen366,
scen262,
scen126,
scen21,
scen65,
scen314,
scen58,
scen352,
scen23,
scen219,
scen109,
scen22,
scen186,
scen190,
scen41,
scen117,
scen383,
scen313,
scen176,
scen140,
scen315,
scen116,
scen375,
scen39,
scen63,
scen11,
scen238,
scen93,
scen177,
scen348,
scen316,
scen164,
scen94,
scen115,
scen139,
scen71,
scen317,
scen284,
scen239,
scen373,
scen114,
scen351,
scen96,
scen95,
scen349,
scen365,
scen112,
scen189,
scen220,
scen97,
scen64,
scen70,
scen111,
scen350,
scen60,
scen138,
scen66,
scen69,
scen187,
scen188,
scen68,
scen67,
