,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
scen1,0,0,0,0,0,0,0.551094952,32.89575489,144.1333182,921.5973538,1387.128813,888.7084792,951.1628803,697.5797276,934.7694144,751.6601473,484.3388905,447.7334372,222.5234611,126.4953652,0,0,0,0
scen2,0,0,0,0,0,0,0.097860969,18.31185386,207.1147209,694.7111919,1053.899325,1034.477926,1303.442188,955.3120897,1120.806826,957.481831,624.7890393,511.1305317,202.6271456,134.5758714,0,0,0,0
scen3,0,0,0,0,0,0,0.298296163,18.91884885,157.8738823,745.4917028,941.7087337,992.6503381,1245.007709,1086.516965,1172.405083,1040.661816,749.4818964,484.5924458,201.0701048,137.9212176,0,0,0,0
scen4,0,0,0,0,0,0,0,13.66251716,167.6083665,668.0486635,867.2264421,1086.222886,1366.915096,1263.467267,1132.496465,1148.296246,815.3009144,519.8633816,191.8404081,134.7896113,0,0,0,0
scen5,0,0,0,0,0,0,0,12.23438537,143.5716991,581.4661499,944.8338007,1093.396639,1328.158826,1266.237277,1254.541075,1162.626789,830.4110111,500.9976547,187.1291413,133.8428091,0,0,0,0
scen6,0,0,0,0,0,0,0.024350152,15.68588912,144.5985806,642.5780687,970.8600012,1134.413461,1338.053325,1176.496247,1208.684948,1220.900467,849.2367317,475.3172659,197.8558241,121.0288819,0,0,0,0
scen7,0,0,0,0,0,0,0.516686896,16.58514589,137.3000503,561.1169886,1118.698022,1088.218937,1460.334308,1214.569633,1120.684349,1168.411032,728.1857401,477.7953257,201.8328933,121.512627,0,0,0,0
scen8,0,0,0,0,0,0,0.960890298,15.81018997,150.6840045,575.622796,1138.015852,1091.168576,1269.81061,1161.365971,1073.265687,1061.648834,785.9772448,493.5510732,186.9095607,117.1897064,0,0,0,0
scen9,0,0,0,0,0,0,0.953241464,17.35329718,140.7753557,568.6632284,1076.537078,982.975108,1259.147011,1083.464038,1025.101673,971.4644524,785.5034165,461.4946087,187.1090108,116.5034584,0,0,0,0
scen10,0,0,0,0,0,0,1.581936985,22.17990099,169.0627765,556.9687696,972.9299886,1043.876062,1406.09348,1085.766962,938.1972719,925.937154,751.3626141,491.1391978,193.2555065,112.6309749,0,0,0,0
scen11,0,0,0,0,0,0,1.651318805,10.89300079,113.8497382,711.054352,1083.071139,1030.443275,1244.339894,1087.260632,1053.78376,863.6498234,748.0684186,493.1767294,181.3591394,111.3892691,0,0,0,0
scen12,0,0,0,0,0,0,0.991277225,14.11275825,129.1449223,790.1943006,967.151177,1102.842814,1158.717835,1086.627335,1165.305897,837.8119972,846.2768773,506.3324329,188.4370639,109.3381661,0,0,0,0
scen13,0,0,0,0,0,0,0.618847868,19.51457057,119.8415444,788.4040236,897.5444436,1202.233083,1307.021518,1201.073149,1153.04865,951.076084,790.7221955,467.9404536,193.5276762,110.3076548,0,0,0,0
scen14,0,0,0,0,0,0,0.826373719,24.55144569,61.32675015,824.1704584,894.8079069,1339.311658,1227.888486,1176.602944,1314.622943,989.6940968,785.5433711,457.0874883,189.0864327,120.1821177,0,0,0,0
scen15,0,0,0,0,0,0,0.253768006,26.87352675,58.1285461,923.8362519,792.1797982,1304.053845,980.8072993,1312.343371,1274.698829,1084.885202,798.6445125,423.7698194,175.9901629,130.365767,0,0,0,0
scen16,0,0,0,0,0,0,0.392302151,35.29035746,150.5583963,774.5623295,707.3313003,1278.118153,1118.941555,1470.181217,1194.93758,1021.345211,761.4115408,399.0723447,186.2938404,138.4706204,0,0,0,0
scen17,0,0,0,0,0,0,0.659129845,34.25897678,145.3763809,672.3426192,633.5781928,1242.453803,1177.160301,1512.747182,1183.300926,1041.915026,695.3274473,401.0437144,181.1279427,137.6925877,0,0,0,0
scen18,0,0,0,0,0,0,0.786454304,28.43233408,150.5718572,736.1572046,765.073639,1339.067171,1044.318358,1509.769871,1205.124488,1003.192009,666.0093779,435.9223243,183.8671935,132.1207427,0,0,0,0
scen19,0,0,0,0,0,0,0.945320103,25.01850083,192.3359337,685.6476112,883.3457177,1266.669196,1006.007422,1557.788932,1111.970853,1047.457406,662.9360539,443.5812372,180.5851935,117.9403719,0,0,0,0
scen20,0,0,0,0,0,0,0.748955801,18.71374704,173.1195855,764.5301587,926.2217865,1236.318373,1065.516871,1372.437497,1136.801867,986.4671825,677.091268,447.8549377,193.9153439,116.743362,0,0,0,0
scen21,0,0,0,0,0,0,0.608941582,18.30635598,102.1729761,678.1087077,1000.312533,1174.605161,1044.981981,1223.097616,1074.864267,1076.709323,715.6188274,480.6758746,187.2689949,108.7935706,0,0,0,0
scen22,0,0,0,0,0,0,0.649035954,17.01825049,105.0741164,690.3001258,1107.340498,1130.338525,976.1642212,1139.58924,1052.371753,1071.559119,756.9473517,492.4024435,187.8036406,99.37043661,0,0,0,0
scen23,0,0,0,0,0,0,0.480774575,14.39368038,134.6873559,687.2677573,1087.063338,866.6543407,1063.035975,937.4924773,1008.334514,1126.831212,771.8398652,488.0305811,194.648632,106.7250534,0,0,0,0
scen24,0,0,0,0,0,0,0.546606664,17.07451744,126.1751362,749.2664421,997.8759664,873.1661186,1171.999823,877.3757196,981.8173146,1137.99503,776.5150141,479.2331083,196.6826827,113.9118539,0,0,0,0
scen25,0,0,0,0,0,0,0.897226707,29.27159621,104.8136644,578.4909938,977.5978494,929.7968784,1147.11661,1074.064896,886.4741967,1084.712592,747.1531111,486.1810927,191.7913227,114.0087086,0,0,0,0
scen26,0,0,0,0,0,0,0.712220562,25.75571467,111.5748103,711.0066876,858.3198663,970.0738038,1105.685093,1077.012629,821.653954,1010.691565,724.1895926,481.7998611,184.1387873,114.6695993,0,0,0,0
scen27,0,0,0,0,0,0,0.469994183,26.85316826,110.8919788,735.0207779,786.6145954,961.9211752,1071.488112,1101.355176,820.2584224,1018.56722,694.7921614,459.1686524,169.1999413,123.971259,0,0,0,0
scen28,0,0,0,0,0,0,0.238677212,23.37116208,106.9133146,651.7494764,788.3968965,1014.237713,1087.128963,1219.359755,862.2935131,949.2205467,728.4202039,463.3165751,168.8649222,119.8386538,0,0,0,0
scen29,0,0,0,0,0,0,0.21215967,25.05716359,170.9507877,665.8542698,794.3598471,953.0818836,941.0210628,1380.680358,947.2263414,936.5005996,727.2641813,461.2650795,176.787435,128.7481068,0,0,0,0
scen30,0,0,0,0,0,0,0,20.97156267,162.0004593,777.352914,847.1826233,862.9654202,1055.496502,1276.749496,1108.21255,954.5936468,760.7023773,486.7604261,176.8038425,129.745149,0,0,0,0
scen31,0,0,0,0,0,0,0,19.74342994,149.4285151,839.6660891,931.1775949,1011.200289,1062.31049,1373.825285,1244.25837,945.8839772,768.5184509,474.0339313,178.8741638,131.424339,0,0,0,0
scen32,0,0,0,0,0,0,0,26.3160312,163.954552,826.9810421,996.732216,1099.710202,1147.645934,1276.171177,1262.223611,946.3517494,757.2109068,464.1011347,193.4166908,131.1086234,0,0,0,0
scen33,0,0,0,0,0,0,0,27.61104325,123.4650223,852.66748,941.8623896,1110.768683,998.0941629,1197.301516,1139.39024,942.1389236,749.991109,435.833268,180.1412821,126.31549,0,0,0,0
scen34,0,0,0,0,0,0,0,23.71642295,122.6104981,807.8296083,946.6060283,1177.348125,1166.68041,1093.903268,1138.156829,825.4559346,757.1952101,459.4308351,182.7423833,121.890945,0,0,0,0
scen35,0,0,0,0,0,0,0,22.59048627,180.7654313,675.4080932,948.2840928,1339.980808,1121.771155,1146.748068,1049.196118,854.5310113,710.6095067,435.388267,174.4724252,117.8319958,0,0,0,0
scen36,0,0,0,0,0,0,0,29.14276706,207.4626296,593.3313298,918.9516317,1193.462725,1207.220986,1070.66279,1062.410021,877.8858723,687.9500329,435.5640855,183.2868504,125.7010903,0,0,0,0
scen37,0,0,0,0,0,0,0,30.41714408,208.4228474,496.5686469,891.8724569,1233.124586,1236.074373,1173.20218,1048.331849,890.7459496,736.8308467,439.853008,198.4133513,125.7147996,0,0,0,0
scen38,0,0,0,0,0,0,0.184789039,44.31024249,209.3639653,497.7713066,812.419266,1315.62346,1215.564982,1187.119114,1212.249973,975.4607658,719.6055246,441.5893959,208.7644671,129.6037631,0,0,0,0
